"filename", "language", "JSON", "HTML", "C#", "XML", "TypeScript", "Database", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/API/appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/API/store.db", "Database", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 11, 51
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/package-lock.json", "JSON", 4392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4393
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/public/vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/api/baseApi.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/errors/NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/errors/ServerError.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/layout/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/layout/NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 8, 89
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/layout/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/layout/uiSlice.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/router/Routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
